Publication,Volume,OTS
Daily Mail,127,602150942
Food Manufacture,109,2359414
BBC Online Whole Site,107,1932527000
Mirror (Online),91,257848864
Sun,91,702731848
Mail Online (DailyMail.co.uk),87,555582000
Times (UK),84,131428332
Sentinel (Online),82,14132618
Grocer,77,4658808
4 Traders,76,29625940
Evening Standard,70,101428670
Daily Mirror,69,213006450
Daily Telegraph,69,115951533
meatinfo.co.uk,67,210916
Telegraph (Coventry) (Online),66,3341250
Independent i,57,66120000
wired-gov.net,55,79640
Herald (Plymouth) Online,51,3079635
Daily Express Online (Express.co.uk) ,50,38938100
Guardian,50,55158200
